navn,organisasjonsnummer,antall_ansatte,kommune,naeringskode
2BERG INVEST AS,998763320,0,OSLO,Andre egeninvesteringsselskaper
2BH ENEBAKKVEIEN 305 AS,913106679,0,OSLO,Utleie av egen eller leid fast eiendom
2BH INVEST AS,918747028,0,OSLO,Uoppgitt
2C MEDIA AS,896428942,0,OSLO,Reklamebyråvirksomhet
2CARE AS,923832742,0,OSLO,Praktisk bistand i hjemmet
2CARE BPA AS,986587098,186,OSLO,Brukerstyrt personlig assistanse (bpa)
2CARE HJEMMETJENESTER AS,989951750,499,OSLO,Praktisk bistand i hjemmet
2CE NAIL BEAUTY AS,832950602,5,LØRENSKOG,Skjønnhetspleie
2CLEAN AS,987704918,231,OSLO,Rengjøring av bygninger
2D HOLDING AS,996236196,0,OSLO,Andre egeninvesteringsselskaper
2DALE AS,921360053,0,OSLO,Uoppgitt
2DAY AS,995566591,0,OSLO,Utleie av egen eller leid fast eiendom
2DRILL AS,932688956,0,OSLO,Annen spesialisert byggevirksomhet i forbindelse med oppføring av bygninger
2E SPORTS AGENCY AS,935302331,0,OSLO,"All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted"
2EAT AS,920416322,24,OSLO,Kantinedrift og annen cateringvirksomhet
2ENTERTAIN NORGE AS,983569285,80,OSLO,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor scenekunst
2EYES CONSULTING AS,927018020,0,OSLO,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
2FAST2CLEAN VINCENZO GIUSEPPE ZAPPALA,912741443,0,OSLO,Rengjøring av bygninger
2GEN AS,928745058,0,OSLO,Uspesifisert engroshandel
2GETHER Eivind Riseth,990368996,0,OSLO,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk
2GROUP AS,919931108,8,OSLO,Rengjøring av bygninger
2H CONSULTING AS,913275748,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
2HB HOLDING AS,925144517,0,OSLO,Uoppgitt
2HD ARCHITECTURE WORKSHOP AS,932973855,0,OSLO,Arkitektvirksomhet
2INVEST AS,979439245,0,OSLO,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer
2IZII AS,934936124,5,OSLO,Dataprogrammeringstjenester
2KN RØR-SERVICE AS,917790558,0,OSLO,VVS-arbeid
2KN RØR-SERVICE AS TVANGSAVVIKLINGSBO,934441001,0,OSLO,VVS-arbeid
2LATE AS,920243258,0,OSLO,Annen teknisk konsulentvirksomhet
2M CARNITECH,932138921,0,,Installasjon av industrimaskiner og -utstyr
2M HOLDING AS,930854352,0,OSLO,Uoppgitt
2M KRISTIANSEN,926500341,0,OSLO,Gulvlegging og tapetsering
2M-LOCATEL,989348272,0,OSLO,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr
2M-SUPPORT TOM ANDERSEN,914455391,0,OSLO,Skapende kunstnerisk virksomhet innenfor komposisjon av musikk
2MOVE AS,936155073,0,OSLO,Undervisning innenfor idrett og rekreasjon
2MUA-EMVGS,920847358,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
2N CYBER AS,935690048,0,OSLO,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer
2ND HAF KORNMO,920809464,0,OSLO,Skapende kunstnerisk virksomhet innenfor komposisjon av musikk
2ND HAF MOURAD J,921206194,0,OSLO,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk
2ND HOME AS,928882128,0,OSLO,Utleie av egen eller leid fast eiendom
2ND NORGE AS,928543404,0,OSLO,Detaljhandel med bredt vareutvalg ellers
2ND OPINION EMF STEIN ARVE JACOBSEN MØLLERHAUG,917862583,0,OSLO,Aktiviteter utført av utflukts- og eventarrangører
2ND SIGN APS,988784494,0,OSLO,Engroshandel med klær og skotøy
2NE HUNDERE,982559405,0,OSLO,Reparasjon og vedlikehold av andre husholdningsvarer og varer til personlig bruk ikke nevnt annet sted
2RE HOLDING AS,919953586,0,OSLO,Annen teknisk konsulentvirksomhet
2RE-2NE-R2 3KKSPILLTROLL ANS,982223733,0,OSLO,Detaljhandel med kulturvarer ikke nevnt annet sted
2REFRAME AS,919709367,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
2S7 ENT AS,936040039,0,OSLO,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk
2STERKE AS,933114589,0,OSLO,Grunnarbeid
2TAURUS AS,821469422,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
2V DESIGN Tove Kristin Ebbesen,976118391,0,OSLO,Reklamebyråvirksomhet
2WB TRADING AS,924573449,0,OSLO,Uoppgitt
3 AMIGOS AS,936253849,0,OSLO,Drift av restauranter
3 BRØDRE AS,934649214,0,OSLO,Drift av restauranter
3 FUEGOS PCI LIMITED,927702754,0,OSLO,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass"
3 LIONS CONSULT AS,933875938,0,OSLO,Kjøp og salg av egen fast eiendom
3 MILLIMETER AS,922330468,0,OSLO,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk
3 MONTASJE AS,923391975,0,OSLO,Oppføring av bygninger
3 MONTASJE AS TVANGSAVVIKLINGSBO,936112714,0,OSLO,Oppføring av bygninger
3 P INVEST AS,927540290,0,OSLO,Uoppgitt
"3 PRO, PROFESJONELL PROTOTYP OG PODUKTUTVIKLING AS",976485556,0,OSLO,Annen teknisk konsulentvirksomhet
3 STEP IT AS,878703812,39,OSLO,Utleie og leasing av kontor- og datamaskiner
3. OSLO ASKELADD SPEIDERGRUPPE,898042502,0,,Aktiviteter i andre medlemsorganisasjoner ellers
300 HIRST,936007139,0,OSLO,Skapende kunstnerisk virksomhet innenfor visuell kunst
300 KNOP AS,986696539,0,OSLO,Lufttransport med passasjerer
305 INVEST AS,927612275,0,OSLO,Uoppgitt
313 INVEST AS,827278092,0,OSLO,Uoppgitt
